window_start,Sample_ID,Ions,Concentration
1990-09-11,Q1,NO3-N,97.83333333333334
1990-09-11,Q1,NH4-N,NA
1990-09-11,Q1,K,0.9322222222222222
1990-09-11,Q1,Mg,2.997777777777778
1990-09-11,Q1,Ca,5.207777777777778
1990-11-13,Q1,NO3-N,132.0909090909091
1990-11-13,Q1,NH4-N,NA
1990-11-13,Q1,K,1.0736363636363637
1990-11-13,Q1,Mg,2.7827272727272727
1990-11-13,Q1,Ca,4.642727272727273
1991-01-15,Q1,NO3-N,87.85714285714286
1991-01-15,Q1,NH4-N,NA
1991-01-15,Q1,K,0.8144444444444444
1991-01-15,Q1,Mg,3.223333333333333
1991-01-15,Q1,Ca,5.7844444444444445
1991-03-19,Q1,NO3-N,59.777777777777786
1991-03-19,Q1,NH4-N,NA
1991-03-19,Q1,K,0.8333333333333334
1991-03-19,Q1,Mg,2.9811111111111113
1991-03-19,Q1,Ca,5.421111111111111
1991-05-21,Q1,NO3-N,54.75
1991-05-21,Q1,NH4-N,NA
1991-05-21,Q1,K,0.914
1991-05-21,Q1,Mg,3.0629999999999997
1991-05-21,Q1,Ca,5.314
1991-07-23,Q1,NO3-N,40.77777777777778
1991-07-23,Q1,NH4-N,NA
1991-07-23,Q1,K,1.012
1991-07-23,Q1,Mg,3.801
1991-07-23,Q1,Ca,6.164
1991-09-24,Q1,NO3-N,80.5
1991-09-24,Q1,NH4-N,NA
1991-09-24,Q1,K,1.1225
1991-09-24,Q1,Mg,2.8266666666666667
1991-09-24,Q1,Ca,4.400833333333333
1991-11-26,Q1,NO3-N,188.375
1991-11-26,Q1,NH4-N,NA
1991-11-26,Q1,K,1.1477777777777778
1991-11-26,Q1,Mg,3.0455555555555556
1991-11-26,Q1,Ca,5.041111111111111
1992-01-28,Q1,NO3-N,151
1992-01-28,Q1,NH4-N,NA
1992-01-28,Q1,K,1.1520000000000001
1992-01-28,Q1,Mg,3.128
1992-01-28,Q1,Ca,5.376
1992-03-31,Q1,NO3-N,63.125
1992-03-31,Q1,NH4-N,NA
1992-03-31,Q1,K,1.051111111111111
1992-03-31,Q1,Mg,3.3244444444444445
1992-03-31,Q1,Ca,5.618888888888889
1992-06-02,Q1,NO3-N,58.25
1992-06-02,Q1,NH4-N,NA
1992-06-02,Q1,K,1.1566666666666667
1992-06-02,Q1,Mg,2.8633333333333333
1992-06-02,Q1,Ca,4.7877777777777775
1992-08-04,Q1,NO3-N,102.66666666666666
1992-08-04,Q1,NH4-N,NA
1992-08-04,Q1,K,1.1144444444444446
1992-08-04,Q1,Mg,3.236666666666667
1992-08-04,Q1,Ca,5.694444444444445
1992-10-06,Q1,NO3-N,76.28571428571429
1992-10-06,Q1,NH4-N,NA
1992-10-06,Q1,K,0.9877777777777778
1992-10-06,Q1,Mg,3.002222222222222
1992-10-06,Q1,Ca,5.384444444444444
1992-12-08,Q1,NO3-N,20.5
1992-12-08,Q1,NH4-N,NA
1992-12-08,Q1,K,1.0822222222222222
1992-12-08,Q1,Mg,2.897777777777778
1992-12-08,Q1,Ca,4.845555555555555
1993-02-09,Q1,NO3-N,125.33333333333333
1993-02-09,Q1,NH4-N,NA
1993-02-09,Q1,K,1.12
1993-02-09,Q1,Mg,3.4466666666666668
1993-02-09,Q1,Ca,5.72
1993-04-13,Q1,NO3-N,69.11111111111111
1993-04-13,Q1,NH4-N,NA
1993-04-13,Q1,K,1.22
1993-04-13,Q1,Mg,3.4755555555555557
1993-04-13,Q1,Ca,5.415555555555556
1993-06-15,Q1,NO3-N,39.2
1993-06-15,Q1,NH4-N,NA
1993-06-15,Q1,K,1.018888888888889
1993-06-15,Q1,Mg,2.9566666666666666
1993-06-15,Q1,Ca,5.483333333333333
1993-08-17,Q1,NO3-N,43.111111111111114
1993-08-17,Q1,NH4-N,NA
1993-08-17,Q1,K,1.0933333333333333
1993-08-17,Q1,Mg,3.281111111111111
1993-08-17,Q1,Ca,5.704444444444444
1993-10-19,Q1,NO3-N,12.444444444444445
1993-10-19,Q1,NH4-N,NA
1993-10-19,Q1,K,1.1277777777777778
1993-10-19,Q1,Mg,3.2733333333333334
1993-10-19,Q1,Ca,5.831111111111111
1993-12-21,Q1,NO3-N,25.333333333333332
1993-12-21,Q1,NH4-N,NA
1993-12-21,Q1,K,1.0355555555555556
1993-12-21,Q1,Mg,2.8844444444444446
1993-12-21,Q1,Ca,5.3133333333333335
1994-02-22,Q1,NO3-N,86.75
1994-02-22,Q1,NH4-N,NA
1994-02-22,Q1,K,1.0655555555555556
1994-02-22,Q1,Mg,3.3433333333333333
1994-02-22,Q1,Ca,5.968888888888889
1994-04-26,Q1,NO3-N,17.444444444444443
1994-04-26,Q1,NH4-N,NA
1994-04-26,Q1,K,1.1566666666666667
1994-04-26,Q1,Mg,3.7
1994-04-26,Q1,Ca,6.6466666666666665
1994-06-28,Q1,NO3-N,94.75
1994-06-28,Q1,NH4-N,NA
1994-06-28,Q1,K,1.143
1994-06-28,Q1,Mg,3.505
1994-06-28,Q1,Ca,6.196
1994-08-30,Q1,NO3-N,NA
1994-08-30,Q1,NH4-N,NA
1994-08-30,Q1,K,1.22
1994-08-30,Q1,Mg,3.3455555555555554
1994-08-30,Q1,Ca,6.12
1994-11-01,Q1,NO3-N,109
1994-11-01,Q1,NH4-N,NA
1994-11-01,Q1,K,1.0988888888888888
1994-11-01,Q1,Mg,3.0444444444444443
1994-11-01,Q1,Ca,5.645555555555555
1995-01-03,Q1,NO3-N,NA
1995-01-03,Q1,NH4-N,NA
1995-01-03,Q1,K,1.235
1995-01-03,Q1,Mg,3.67375
1995-01-03,Q1,Ca,6.26375
1995-03-07,Q1,NO3-N,NA
1995-03-07,Q1,NH4-N,NA
1995-03-07,Q1,K,0.9642857142857143
1995-03-07,Q1,Mg,3.182857142857143
1995-03-07,Q1,Ca,5.615714285714286
1995-05-09,Q1,NO3-N,NA
1995-05-09,Q1,NH4-N,NA
1995-05-09,Q1,K,1.3125
1995-05-09,Q1,Mg,3.3425000000000002
1995-05-09,Q1,Ca,5.79
1995-07-11,Q1,NO3-N,NA
1995-07-11,Q1,NH4-N,NA
1995-07-11,Q1,K,0.9066666666666666
1995-07-11,Q1,Mg,3.27
1995-07-11,Q1,Ca,5.82
1995-09-12,Q1,NO3-N,NA
1995-09-12,Q1,NH4-N,NA
1995-09-12,Q1,K,NA
1995-09-12,Q1,Mg,NA
1995-09-12,Q1,Ca,NA
1995-11-14,Q1,NO3-N,NA
1995-11-14,Q1,NH4-N,NA
1995-11-14,Q1,K,1.06
1995-11-14,Q1,Mg,2.764
1995-11-14,Q1,Ca,4.958
1996-01-16,Q1,NO3-N,NA
1996-01-16,Q1,NH4-N,NA
1996-01-16,Q1,K,1.0822222222222222
1996-01-16,Q1,Mg,3.1866666666666665
1996-01-16,Q1,Ca,5.49
1996-03-19,Q1,NO3-N,NA
1996-03-19,Q1,NH4-N,NA
1996-03-19,Q1,K,1.1522222222222223
1996-03-19,Q1,Mg,3.41
1996-03-19,Q1,Ca,5.72
1996-05-21,Q1,NO3-N,NA
1996-05-21,Q1,NH4-N,NA
1996-05-21,Q1,K,1.1422222222222222
1996-05-21,Q1,Mg,3.2244444444444444
1996-05-21,Q1,Ca,5.595555555555555
1996-07-23,Q1,NO3-N,47
1996-07-23,Q1,NH4-N,NA
1996-07-23,Q1,K,1.208888888888889
1996-07-23,Q1,Mg,3.6144444444444446
1996-07-23,Q1,Ca,6.101111111111111
1996-09-24,Q1,NO3-N,204.33333333333334
1996-09-24,Q1,NH4-N,NA
1996-09-24,Q1,K,1.055
1996-09-24,Q1,Mg,2.98875
1996-09-24,Q1,Ca,5.251250000000001
1996-11-26,Q1,NO3-N,218.57142857142858
1996-11-26,Q1,NH4-N,NA
1996-11-26,Q1,K,1.2714285714285714
1996-11-26,Q1,Mg,3.1742857142857144
1996-11-26,Q1,Ca,5.635714285714285
1997-01-28,Q1,NO3-N,208.77777777777777
1997-01-28,Q1,NH4-N,NA
1997-01-28,Q1,K,1.01
1997-01-28,Q1,Mg,2.9033333333333333
1997-01-28,Q1,Ca,5.078888888888889
1997-04-01,Q1,NO3-N,191.71428571428572
1997-04-01,Q1,NH4-N,NA
1997-04-01,Q1,K,1.1355555555555557
1997-04-01,Q1,Mg,3.1577777777777776
1997-04-01,Q1,Ca,5.774444444444445
1997-06-03,Q1,NO3-N,174.375
1997-06-03,Q1,NH4-N,NA
1997-06-03,Q1,K,0.9544444444444444
1997-06-03,Q1,Mg,2.9388888888888887
1997-06-03,Q1,Ca,5.2844444444444445
1997-08-05,Q1,NO3-N,118.5
1997-08-05,Q1,NH4-N,NA
1997-08-05,Q1,K,0.8622222222222222
1997-08-05,Q1,Mg,3.0522222222222224
1997-08-05,Q1,Ca,5.723333333333333
1997-10-07,Q1,NO3-N,119.625
1997-10-07,Q1,NH4-N,NA
1997-10-07,Q1,K,1.07375
1997-10-07,Q1,Mg,2.5675
1997-10-07,Q1,Ca,4.40375
1997-12-09,Q1,NO3-N,119.42857142857143
1997-12-09,Q1,NH4-N,23
1997-12-09,Q1,K,0.7342857142857143
1997-12-09,Q1,Mg,2.0275
1997-12-09,Q1,Ca,4.19625
1998-02-10,Q1,NO3-N,96.11111111111111
1998-02-10,Q1,NH4-N,14.833333333333334
1998-02-10,Q1,K,1.251111111111111
1998-02-10,Q1,Mg,2.56
1998-02-10,Q1,Ca,4.17
1998-04-14,Q1,NO3-N,77.66666666666667
1998-04-14,Q1,NH4-N,25
1998-04-14,Q1,K,0.8728571428571429
1998-04-14,Q1,Mg,2.2175
1998-04-14,Q1,Ca,4.22
1998-06-16,Q1,NO3-N,104.66666666666666
1998-06-16,Q1,NH4-N,23.75
1998-06-16,Q1,K,1.252857142857143
1998-06-16,Q1,Mg,2.8966666666666665
1998-06-16,Q1,Ca,4.777777777777778
1998-08-18,Q1,NO3-N,160
1998-08-18,Q1,NH4-N,8.285714285714286
1998-08-18,Q1,K,1.0613333333333332
1998-08-18,Q1,Mg,2.473333333333333
1998-08-18,Q1,Ca,4.69
1998-10-20,Q1,NO3-N,228
1998-10-20,Q1,NH4-N,10
1998-10-20,Q1,K,1.1188888888888888
1998-10-20,Q1,Mg,2.4522222222222223
1998-10-20,Q1,Ca,4.731111111111111
1998-12-22,Q1,NO3-N,222.11111111111111
1998-12-22,Q1,NH4-N,13.666666666666668
1998-12-22,Q1,K,1.0966666666666667
1998-12-22,Q1,Mg,2.8377777777777777
1998-12-22,Q1,Ca,4.88
1999-02-23,Q1,NO3-N,261.8888888888889
1999-02-23,Q1,NH4-N,18.4
1999-02-23,Q1,K,1.0455555555555556
1999-02-23,Q1,Mg,3.1533333333333333
1999-02-23,Q1,Ca,5.883333333333334
1999-04-27,Q1,NO3-N,165.66666666666666
1999-04-27,Q1,NH4-N,9
1999-04-27,Q1,K,1.0325
1999-04-27,Q1,Mg,2.93
1999-04-27,Q1,Ca,5.094444444444444
1999-06-29,Q1,NO3-N,169.22222222222223
1999-06-29,Q1,NH4-N,10
1999-06-29,Q1,K,1.028888888888889
1999-06-29,Q1,Mg,2.8088888888888888
1999-06-29,Q1,Ca,4.562222222222222
1999-08-31,Q1,NO3-N,158.55555555555554
1999-08-31,Q1,NH4-N,13.6
1999-08-31,Q1,K,0.99625
1999-08-31,Q1,Mg,2.6755555555555555
1999-08-31,Q1,Ca,4.452222222222222
1999-11-02,Q1,NO3-N,199.22222222222223
1999-11-02,Q1,NH4-N,12.4
1999-11-02,Q1,K,0.9877777777777778
1999-11-02,Q1,Mg,2.756666666666667
1999-11-02,Q1,Ca,4.286666666666667
2000-01-04,Q1,NO3-N,220.11111111111111
2000-01-04,Q1,NH4-N,7.75
2000-01-04,Q1,K,0.8988888888888888
2000-01-04,Q1,Mg,2.9544444444444444
2000-01-04,Q1,Ca,5.113333333333333
2000-03-07,Q1,NO3-N,215.55555555555554
2000-03-07,Q1,NH4-N,NA
2000-03-07,Q1,K,0.8733333333333333
2000-03-07,Q1,Mg,3.34
2000-03-07,Q1,Ca,6.064444444444445
2000-05-09,Q1,NO3-N,171.55555555555554
2000-05-09,Q1,NH4-N,11
2000-05-09,Q1,K,0.8922222222222222
2000-05-09,Q1,Mg,2.9611111111111112
2000-05-09,Q1,Ca,4.9622222222222225
2000-07-11,Q1,NO3-N,176.77777777777777
2000-07-11,Q1,NH4-N,10.8
2000-07-11,Q1,K,0.8344444444444444
2000-07-11,Q1,Mg,3.25
2000-07-11,Q1,Ca,6.1
2000-09-12,Q1,NO3-N,161
2000-09-12,Q1,NH4-N,9.4
2000-09-12,Q1,K,0.9577777777777777
2000-09-12,Q1,Mg,2.792222222222222
2000-09-12,Q1,Ca,4.733333333333333
2000-11-14,Q1,NO3-N,190.22222222222223
2000-11-14,Q1,NH4-N,10.166666666666666
2000-11-14,Q1,K,0.9922222222222222
2000-11-14,Q1,Mg,3.292222222222222
2000-11-14,Q1,Ca,5.567777777777778
2001-01-16,Q1,NO3-N,178.88888888888889
2001-01-16,Q1,NH4-N,9.166666666666666
2001-01-16,Q1,K,0.8877777777777778
2001-01-16,Q1,Mg,3.2944444444444443
2001-01-16,Q1,Ca,5.704444444444444
2001-03-20,Q1,NO3-N,152.66666666666666
2001-03-20,Q1,NH4-N,7.2
2001-03-20,Q1,K,1.0322222222222222
2001-03-20,Q1,Mg,3.21
2001-03-20,Q1,Ca,5.986666666666666
2001-05-22,Q1,NO3-N,146.22222222222223
2001-05-22,Q1,NH4-N,9
2001-05-22,Q1,K,0.93
2001-05-22,Q1,Mg,3.071111111111111
2001-05-22,Q1,Ca,5.683333333333334
2001-07-24,Q1,NO3-N,150.22222222222223
2001-07-24,Q1,NH4-N,8.75
2001-07-24,Q1,K,1.0022222222222221
2001-07-24,Q1,Mg,3.3677777777777775
2001-07-24,Q1,Ca,6.368888888888889
2001-09-25,Q1,NO3-N,190.66666666666666
2001-09-25,Q1,NH4-N,13.5
2001-09-25,Q1,K,1.0633333333333332
2001-09-25,Q1,Mg,2.9966666666666666
2001-09-25,Q1,Ca,5.597777777777778
2001-11-27,Q1,NO3-N,193.33333333333334
2001-11-27,Q1,NH4-N,18.714285714285715
2001-11-27,Q1,K,1.0622222222222222
2001-11-27,Q1,Mg,3.1122222222222224
2001-11-27,Q1,Ca,5.321111111111111
2002-01-29,Q1,NO3-N,193
2002-01-29,Q1,NH4-N,13
2002-01-29,Q1,K,0.98
2002-01-29,Q1,Mg,3.25375
2002-01-29,Q1,Ca,5.8975
2002-04-02,Q1,NO3-N,134.75
2002-04-02,Q1,NH4-N,12.555555555555555
2002-04-02,Q1,K,1.0166666666666666
2002-04-02,Q1,Mg,2.727777777777778
2002-04-02,Q1,Ca,4.726666666666667
2002-06-04,Q1,NO3-N,149.22222222222223
2002-06-04,Q1,NH4-N,16.77777777777778
2002-06-04,Q1,K,0.93
2002-06-04,Q1,Mg,3.2544444444444447
2002-06-04,Q1,Ca,5.492222222222222
2002-08-06,Q1,NO3-N,168
2002-08-06,Q1,NH4-N,15.875
2002-08-06,Q1,K,0.8777777777777778
2002-08-06,Q1,Mg,3.3422222222222224
2002-08-06,Q1,Ca,6.198888888888889
2002-10-08,Q1,NO3-N,148.77777777777777
2002-10-08,Q1,NH4-N,17.11111111111111
2002-10-08,Q1,K,0.8788888888888888
2002-10-08,Q1,Mg,2.917777777777778
2002-10-08,Q1,Ca,5.633333333333333
2002-12-10,Q1,NO3-N,168.22222222222223
2002-12-10,Q1,NH4-N,17
2002-12-10,Q1,K,0.8444444444444444
2002-12-10,Q1,Mg,2.6455555555555557
2002-12-10,Q1,Ca,5.992222222222222
2003-02-11,Q1,NO3-N,156.11111111111111
2003-02-11,Q1,NH4-N,11.777777777777779
2003-02-11,Q1,K,0.8644444444444445
2003-02-11,Q1,Mg,3.4811111111111113
2003-02-11,Q1,Ca,6.868888888888889
2003-04-15,Q1,NO3-N,152.55555555555554
2003-04-15,Q1,NH4-N,13.375
2003-04-15,Q1,K,0.8744444444444445
2003-04-15,Q1,Mg,2.6122222222222224
2003-04-15,Q1,Ca,4.404444444444445
2003-06-17,Q1,NO3-N,163.66666666666666
2003-06-17,Q1,NH4-N,11.285714285714286
2003-06-17,Q1,K,0.9688888888888889
2003-06-17,Q1,Mg,3.1855555555555557
2003-06-17,Q1,Ca,5.041111111111111
2003-08-19,Q1,NO3-N,151.66666666666666
2003-08-19,Q1,NH4-N,20.5
2003-08-19,Q1,K,1.018888888888889
2003-08-19,Q1,Mg,2.411111111111111
2003-08-19,Q1,Ca,4.685555555555555
2003-10-21,Q1,NO3-N,168
2003-10-21,Q1,NH4-N,14.2
2003-10-21,Q1,K,1.02
2003-10-21,Q1,Mg,2.901111111111111
2003-10-21,Q1,Ca,5.097777777777778
2003-12-23,Q1,NO3-N,177.75
2003-12-23,Q1,NH4-N,20.428571428571427
2003-12-23,Q1,K,0.8822222222222222
2003-12-23,Q1,Mg,2.7600000000000002
2003-12-23,Q1,Ca,4.656666666666666
2004-02-24,Q1,NO3-N,129.44444444444446
2004-02-24,Q1,NH4-N,8.833333333333334
2004-02-24,Q1,K,0.9577777777777778
2004-02-24,Q1,Mg,2.9233333333333333
2004-02-24,Q1,Ca,5.204444444444444
2004-04-27,Q1,NO3-N,139.11111111111111
2004-04-27,Q1,NH4-N,8
2004-04-27,Q1,K,0.9944444444444445
2004-04-27,Q1,Mg,2.3955555555555557
2004-04-27,Q1,Ca,4.5088888888888885
2004-06-29,Q1,NO3-N,124.71428571428571
2004-06-29,Q1,NH4-N,14.4
2004-06-29,Q1,K,1.1022222222222222
2004-06-29,Q1,Mg,3.4555555555555557
2004-06-29,Q1,Ca,6.461111111111111
2004-08-31,Q1,NO3-N,158.28571428571428
2004-08-31,Q1,NH4-N,15
2004-08-31,Q1,K,0.9288888888888889
2004-08-31,Q1,Mg,2.8233333333333333
2004-08-31,Q1,Ca,5.762222222222222
2004-11-02,Q1,NO3-N,105.66666666666666
2004-11-02,Q1,NH4-N,15.5
2004-11-02,Q1,K,1.0566666666666666
2004-11-02,Q1,Mg,2.537777777777778
2004-11-02,Q1,Ca,5.052222222222222
2005-01-04,Q1,NO3-N,175.77777777777777
2005-01-04,Q1,NH4-N,12
2005-01-04,Q1,K,0.7988888888888889
2005-01-04,Q1,Mg,3.0855555555555556
2005-01-04,Q1,Ca,5.5
2005-03-08,Q1,NO3-N,180.66666666666666
2005-03-08,Q1,NH4-N,19.333333333333332
2005-03-08,Q1,K,0.8811111111111111
2005-03-08,Q1,Mg,3.278888888888889
2005-03-08,Q1,Ca,5.848888888888889
2005-05-10,Q1,NO3-N,123.66666666666667
2005-05-10,Q1,NH4-N,14.5
2005-05-10,Q1,K,1.041111111111111
2005-05-10,Q1,Mg,2.7311111111111113
2005-05-10,Q1,Ca,5.013333333333334
2005-07-12,Q1,NO3-N,141.375
2005-07-12,Q1,NH4-N,10
2005-07-12,Q1,K,0.7844444444444445
2005-07-12,Q1,Mg,3.0944444444444446
2005-07-12,Q1,Ca,5.741111111111111
2005-09-13,Q1,NO3-N,149.77777777777777
2005-09-13,Q1,NH4-N,12.75
2005-09-13,Q1,K,0.8633333333333333
2005-09-13,Q1,Mg,2.756666666666667
2005-09-13,Q1,Ca,4.974444444444445
2005-11-15,Q1,NO3-N,156.44444444444446
2005-11-15,Q1,NH4-N,7.666666666666667
2005-11-15,Q1,K,0.79
2005-11-15,Q1,Mg,2.9844444444444442
2005-11-15,Q1,Ca,5.291111111111111
2006-01-17,Q1,NO3-N,166.22222222222223
2006-01-17,Q1,NH4-N,6.5
2006-01-17,Q1,K,0.8144444444444444
2006-01-17,Q1,Mg,2.8644444444444446
2006-01-17,Q1,Ca,5.355555555555555
2006-03-21,Q1,NO3-N,151.22222222222223
2006-03-21,Q1,NH4-N,NA
2006-03-21,Q1,K,0.8355555555555555
2006-03-21,Q1,Mg,3.151111111111111
2006-03-21,Q1,Ca,5.863333333333333
2006-05-23,Q1,NO3-N,170.75
2006-05-23,Q1,NH4-N,15.5
2006-05-23,Q1,K,0.8233333333333334
2006-05-23,Q1,Mg,2.838888888888889
2006-05-23,Q1,Ca,5.79125
2006-07-25,Q1,NO3-N,155.375
2006-07-25,Q1,NH4-N,9.333333333333334
2006-07-25,Q1,K,0.9044444444444445
2006-07-25,Q1,Mg,3.2577777777777777
2006-07-25,Q1,Ca,6.322222222222222
2006-09-26,Q1,NO3-N,136.11111111111111
2006-09-26,Q1,NH4-N,7
2006-09-26,Q1,K,0.9322222222222223
2006-09-26,Q1,Mg,2.87
2006-09-26,Q1,Ca,5.557777777777778
2006-11-28,Q1,NO3-N,177.44444444444446
2006-11-28,Q1,NH4-N,6.5
2006-11-28,Q1,K,0.9011111111111111
2006-11-28,Q1,Mg,3.1133333333333333
2006-11-28,Q1,Ca,6.066666666666666
2007-01-30,Q1,NO3-N,154
2007-01-30,Q1,NH4-N,8.666666666666666
2007-01-30,Q1,K,0.8922222222222222
2007-01-30,Q1,Mg,3.4644444444444447
2007-01-30,Q1,Ca,5.982222222222222
2007-04-03,Q1,NO3-N,113.77777777777777
2007-04-03,Q1,NH4-N,7.125
2007-04-03,Q1,K,0.85
2007-04-03,Q1,Mg,3.013333333333333
2007-04-03,Q1,Ca,5.17
2007-06-05,Q1,NO3-N,147.33333333333334
2007-06-05,Q1,NH4-N,9.333333333333334
2007-06-05,Q1,K,0.8744444444444445
2007-06-05,Q1,Mg,3.51
2007-06-05,Q1,Ca,6.301111111111111
2007-08-07,Q1,NO3-N,129.55555555555554
2007-08-07,Q1,NH4-N,12.285714285714286
2007-08-07,Q1,K,0.8588888888888889
2007-08-07,Q1,Mg,3.198888888888889
2007-08-07,Q1,Ca,6.03
2007-10-09,Q1,NO3-N,180.55555555555554
2007-10-09,Q1,NH4-N,9.4
2007-10-09,Q1,K,0.8544444444444445
2007-10-09,Q1,Mg,3.152222222222222
2007-10-09,Q1,Ca,5.526666666666666
2007-12-11,Q1,NO3-N,132.625
2007-12-11,Q1,NH4-N,8.75
2007-12-11,Q1,K,0.8775000000000001
2007-12-11,Q1,Mg,3.07
2007-12-11,Q1,Ca,6.0475
2008-02-12,Q1,NO3-N,159
2008-02-12,Q1,NH4-N,28
2008-02-12,Q1,K,0.8788888888888889
2008-02-12,Q1,Mg,3.5977777777777775
2008-02-12,Q1,Ca,6.448888888888889
2008-04-15,Q1,NO3-N,136.77777777777777
2008-04-15,Q1,NH4-N,NA
2008-04-15,Q1,K,0.9055555555555556
